Affiliation,total_registrations,no_of_accounts_created,no_of_accounts_needed
SS&C,1,0,1
SIVA SIVANI INSTITUTE OF MANAGEMENT,1,0,1
INSTAGRAM,1,0,1
"UNIVERSITY OF BEDFORDSHIRE, UNITED KINGDOM",1,0,1
NAPIER HEALTH CARE,1,0,1
ANDHRA LOYOLA COLLEGE,2,0,2
NATIONAL INSTITUTE OF TECHNOLOGY SURATHKAL,1,0,1
ILLINOIS INSTITUTE OF TECHNOLOGY,3,0,3
GARDEN CITY UNIVERSITY,1,1,0
SRINIVASA INSTITUTE OF ENGINEERING AND TECHNOLOGY,25,2,23
NIAT,2,0,2
OLD BRIDGE HIGH SCHOOL,1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY RK VALLEY,2,1,1
ST. ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,4,2,2
SRKR BHIMAVARAM,1,0,1
PONNAIYAH RAMAJAYAM INSTITUTE OF SCIENCE AND TECHNOLOGY,1,1,0
LAKIREDDYBALIREDDY COLLEGE OF ENGINEERING,1,0,1
ESWAR COLLEGE OF ENGINEERING,1,0,1
IIIT SRIKAKULAM,1,1,0
MRET - MALLAREDDY INST OF ENGG AND TECHNOLOGY,8,4,4
VASIREDDY VENKTADRI INSTITUTE OF TECHNOLOGY,1,0,1
SASI INSTITUTE OF TECHNOLOGY AND ENGINEERING,6,2,4
INKPROG TECHNOLOGIES,1,0,1
MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY,1,0,1
IVY (ENTAIN PLC),1,0,1
VIGANA DEGREE COLLEGE,1,0,1
MASTERJI DEGREE AND PG COLLEGE,1,1,0
P.S.V COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN(KAKATIYA UNIVERSITY),1,1,0
"UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY MAHATMA GANDHI UNIVERSITY, NALGONDA",1,1,0
VIGNAN DEGREE AND PG COLLEGE,1,0,1
"B.V.RAJU COLLEGE, BHIMAVARAM",1,0,1
SIR CR REDDY COLLEGE OF ENGINEERING,5,1,4
LENDI INSTITUE OF ENGINEERING AND TECHNOLOGY,1,0,1
ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCE RAJAMPET,10,4,6
SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,2,1,1
GAYATRI VIDYA PARISAD COLLEGE FOR DEGREE AND PG COURSES,4,2,2
ASPIRING ENTREPRENEUR,1,0,1
VIGNANA INSTITUTE OF INFORMATION TECHNOLOGY,1,0,1
"CHRIST UNIVERSITY,BANGALORE",9,3,6
BHARATH UNIVERSITY,2,0,2
ACT FIBERNET,1,1,0
VIGNAN INSTITUTE OF MANAGEMENT AND TECHNOLOGY FOR WOMEN,1,0,1
VIGNAN INSTIUTE OF INFORMATION TECHNOLOGY,1,0,1
AIAT,1,0,1
LITTLE FLOWERS DEGREE COLLEGE,1,0,1
SANA ENGINEERING COLLEGE,1,1,0
SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY & MANAGEMENT (SMVITM),1,1,0
FERGUSON CENTRE FOR HIGHER LEARNING,1,1,0
H MEDIA NETWORKS INDIA PVT LTD,1,0,1
MOTHER THERESA DEGREE COLLEGE,1,1,0
BALLARI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,2,2,0
"UNIVERSITY COLLEGE OF SCIENCE, SAIFABAD",1,0,1
VVKN - VIVEKANANDA INSTT OF TECH AND SCI BOMMAKAL,1,0,1
BRIL - BRILLIANT INSTT OF ENGG AND TECHNOLOGY,3,0,3
VELLORE INSTITUTION OF TECHNOLOGY,2,0,2
INFOSYS,2,0,2
BRIG - BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,2,0,2
NATIONAL INSTITUTE OF TECHNOLOGY ANDHRA PRADESH,9,4,5
GENPACT PVT LTD,1,0,1
NATIONAL COLLEGE OF IRELAND,2,0,2
SHIV NADAR UNIVERSITY CHENNAI,2,0,2
FLORIDA ATLANTIC UNIVERSITY,1,0,1
S J C INSTITUTE OF TECHNOLOGY,1,0,1
SANTHIRAM ENGINEERING COLLEGE,3,0,3
MADANAPALLE INSTITUTION OF TECHNOLOGY AND SCIENCES,2,0,2
VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY,4,0,4
ST JOSEPH'S DEGREE AND PG COLLEGE,1,0,1
MURRAY STATE UNIVERSITY,1,1,0
BRADLEY UNIVERSITY,1,0,1
HUMANA,1,0,1
ADITYA UNIVERSITY,4,4,0
CHICAGO STATE UNIVERSITY,1,1,0
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,RK VALLEY",1,1,0
"SAHYADRI COLLEGE OF ENGINEERING AND MANAGEMENT, MANGALORE",1,0,1
GITAM BANGALORE,3,0,3
TIRUMALA ENGINEERING COLLEGE,7,3,4
MLTM - MALLA REDDY INSTITUTE OF TECHNOLOGY,4,3,1
MADANAPALLI INSTITUTE OF TECHNOLOGY AND SCIENCE,1,0,1
EXPERIAN,1,0,1
SRI VENKATESWARA UNIVERSITY TIRUPATI,1,0,1
SREENIVASA INSTITUTE OF TECHNOLOGY AND MANAGEMENT STUDIES,2,0,2
GNTW - G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI,174,77,97
SAILS SOFTWARE SOLUTIONS,1,0,1
CENTRAL UNIVERSITY OF KARNATAKA,2,1,1
VIKAS GROUP OF INSTITUTIONS,1,1,0
IIITDM KANCHEEPURAM,2,0,2
UCD,1,0,1
LAKKIREDDY BALIREDDY COLLEGE OF ENGINEERING,1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY,3,2,1
VTU BELGAUM,1,0,1
RGUKT BASAR,32,14,18
AVIH - AVANTHI INST OF ENGG AND TECHNOLOGY,17,12,5
KRISHNA UNIVERSITY MACHILIPATNAM,1,0,1
KRISHNA UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY,2,1,1
KRISHNA UNIVERSITY,5,3,2
COVENTRY UNIVERSITY,1,0,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, IIIT BASAR",1,1,0
JKC COLLEGE GUNTUR,1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES BASAR,25,14,11
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,BASAR",8,7,1
SOCIAL PRACHER,1,0,1
ADITYA DEGREE COLLEGE,9,1,8
IFHE HYDERABAD,224,154,70
VISVESWARAYA TECHNOLOGICAL UNIVERSITY BELAGAVI,1,0,1
WIPRO,1,0,1
TORRENS UNIVERSITY,1,1,0
UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,1,0,1
"EX AMAZON, WIPRO, HSBC",1,0,1
"NATIONAL INSTITUTE OF TECHNOLOGY , DURGAPUR",1,1,0
MREM - MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,25,7,18
MASTERS GRADUATE,1,0,1
UNIVERSITY OF NEW HAVEN,4,0,4
QIS COLLEGE OF ENGINEERING AND TECHNOLOGY,7,3,4
CGI,1,0,1
NIT DELHI,1,0,1
.,1,0,1
MHVR - MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,3,1,2
JNTUGV COLLEGE OF ENGINEERING VIZIANAGARAM,7,2,5
S.V.DEGREE COLLEGE,1,1,0
CHHS,1,0,1
SRI VASAVI GMR DEGREE COLLEGE,1,0,1
MALLAREDY COLLEGE,1,0,1
VASIREDDY VENKATDRI INSTITUTE TECHNOLOGY,1,0,1
EY,1,0,1
SRK INSTITUTE OF TECHNOLOGY,2,1,1
VFX INDUSTRY,1,0,1
BBCIT,1,0,1
BRN INFO TECH,1,0,1
SAGI RAMA KRISHNAM RAJU ENGINEERING COLLEGE,3,1,2
LAKKIREDDY BALI REDDY COLLEGE OF ENGINEERING,1,0,1
BVRW - BVRIT COLLEGE OF ENGINEERING FOR WOMEN,475,216,259
MINDLER,1,0,1
MYBIZZERP,1,0,1
SBIT - SWARNA BHARATHI INSTITUTE OF SCI AND TECHNOLOGY,44,16,28
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES - RKVALLEY,1,1,0
SRKREC,2,1,1
LOVELY PROFESSSIONAL UNIVERSITY,1,1,0
KAKINADA INSTITUTE OF TECHNOLOGICAL SCIENCES,2,2,0
ORACLE INDIA PVT LTD,1,0,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOOGIES, BASAR",1,1,0
"ASSAM UNIVERSITY, SILCHAR",1,1,0
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RANCHI,1,1,0
LAKKIREDDY BALIREDDY COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
MARYVILLE UNIVERSITY,1,0,1
NRI INSTITUTE OF TECHNOLOGY,9,1,8
BLEKINGE INSTITUTE OF TECHNOLOGY,1,1,0
RAMACHANDRA COLLEGE OF ENGINEERING VATLUR,1,0,1
NARASARAOPET ENGINEERING COLLEGA,1,0,1
BCBST,1,0,1
SAVEETHA INSTITUTION OF MEDICAL AND TECHNICAL SCIENCES,1,0,1
RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING,4,2,2
DR LANKAPALLI BULLAYYA COLLEGE OF ENGINEERING,1,1,0
CMR UNIVERSITY,1,0,1
SR&BGNR COLLEGE KHAMMAM,1,0,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, BASAR",11,5,6
SASI INSTITUTE OF TECHNOLOGY AND ENGINERRING,1,1,0
"INSTITUTE OF INFORMATICS AND COMMUNICATION, UNIVERSITY OF DELHI",1,0,1
SILVER OAKS INTERNATIONAL SCHOOL,1,0,1
Q2 SOFTWARE,1,0,1
"ACHARYA INSTITUTE OF TECHNOLOGY , BANGALORE",2,0,2
SIRCRREDDY COLLEGE OF ENGINEERING,1,0,1
SASI INTSITUTE OF TECHNOLOGY AND ENGINEERING,1,0,1
NAGA IT SOLUTIONS LTD,1,0,1
MANIPAL INSTITUTE OF TECHNOLOGY,5,3,2
"CHANAKYA UNIVERSITY, BENGALURU",1,1,0
ANDERSON UNIVERSITY SOUTH CAROLINA USA,1,1,0
RVR&JC COLLEGE OF ENGINEERING,5,0,5
ACHARYA N G RANGA AGRICULTURAL UNIVERSITY,1,0,1
"LNMIIT, JAIPUR",1,0,1
"VELLORE INSTITUTE OF TECHNOLOGY, CHENNAI",2,1,1
TECHMAHINDRA,1,0,1
INDIAN INSTITUTE OF TECHNOLOGY INDORE,1,0,1
UNIVERSITY OF MISSOURI KANSAS CITY,1,0,1
WEBSTER UNIVERSITY,1,0,1
RGUKT - SRIKAKULAM,1,0,1
LAKIREDDY BALIREDDY COLLEGE OF ENGINEERING,5,4,1
GUDLAVALLERU ENGINEERING COLLEGE,3,1,2
10KINFO DATA SOLUTIONS,1,0,1
SRI INDU ENGINEERING AND TECHNOLOGY,1,0,1
SIR M VISVESVARAYA COLLGE OF ENGINEERING,1,0,1
SREE RAMA ENGINEERING COLLEGE,2,0,2
INDEPENDENT RESEARCHER,1,0,1
ST.MARY'S INTEGRATED CAMPUS HYDERABAD,1,0,1
MANAV RACHNA UNIVERSITY,3,1,2
MALINENI LAKSHMAIAH WOMEN'S ENGINEERING COLLEGE,1,0,1
SIDDHARTH EDUCATION ACADEMY GROUP OF INSTITUTIONS,1,0,1
HOUSEWIFE,1,0,1
UNIVERSITY OF HERTFORDSHIRE,1,0,1
NITHIN KUMAR KODIPYAKA,1,0,1
BVC INSTITUTE OF TECHNOLOGY AND SCIENCE AMALAPURAM,1,0,1
KBN PG CENTER,1,0,1
SRMIST,3,3,0
VEL TECH RANGARAJAN DR. SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY,3,1,2
INSTITUTE OF PUBLIC ENTERPRISE,1,0,1
LAKI REDDY BALI REDDY COLLEGE OF ENGINEERING,2,2,0
AARM - AAR MAHAVEER ENGINEERING COLLEGE,36,6,30
APPLITECH TECHNOLOGIES,1,0,1
NRCM - NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),128,27,101
ADITYA DEGREE COLLEGE FOR WOMEN RAJAHMUNDRY,1,0,1
VIT CHENNAI,3,3,0
NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA,2,1,1
DIGITALOPS,1,0,1
"VELLORE INSTITUTE OF TECHNOLOGY,VELLORE",3,1,2
SASTRA DEEMED TO BE UNIVERSITY,2,0,2
UNIVERSITY OF ALABAMA AT BIRMINGHAM,1,1,0
NB SCIENCE &PG COLLEGE,1,1,0
NARASARAOPET ENGINEERING COLLEGE,2,0,2
UNIVERSITY OF OTTAWA,1,0,1
MASTERJI DEGREE COLLEGE,1,0,1
HCL IT,1,0,1
ATRIA INSTITUTE OF TECHNOLOGY,1,0,1
BRILLIO TECHNOLOGY,1,0,1
SJM INSTITUTE OF TECHNOLOGY,1,1,0
"SRI VENKATESWARA UNIVERSITY COLLEGE OF ENGINEERING, TIRUPATI",1,0,1
MOTK - MOTHER TERESA INSTITUTE OF SCI AND TECHNOLOGY,1,0,1
SDEW - SRIDEVI WOMENS ENGINEERING COLLEGE,96,15,81
SRINIVASA RAMANUJAN INSTITUTE OF TECHNOLOGY,3,1,2
KALASALINGAM UNIVERSITY,6,3,3
VIGNAN INSTITUE OF TECHNOLOGY AND SCIENCE,2,0,2
RUTGERS UNIVERSITY NEW BRUNSWICK,1,0,1
VELLORE INSTITUTE OF TECHNOLOGY ANDHRA PRADESH,1,1,0
ANNA UNIVERSITY,1,1,0
MARIS STELLA COLLEGE,1,0,1
TEXAS A&M UNIVERSITY,1,0,1
NO,2,1,1
EAST POINT COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
UNIVERSITY OF DELAWARE,1,0,1
CHTS - SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,3,1,2
KONERU LAKSHMAIAH UNIVERSITY,1,0,1
R.V.R. & J.C. COLLEGE OF ENGINEERING,3,2,1
GEORGIA INSTITUTE OF TECHNOLOGY,1,0,1
JSSATE BANGLORE,3,2,1
ASCENCIA MALTA BUSINESS SCHOOL,1,0,1
TPCE - TALLA PADMAVATHI COLL OF ENGINEERING,47,11,36
"MANIPAL INSTITUTE OF TECHNOLOGY, MANIPAL",1,1,0
SAROJINI NAIDU VANITA MAHA VIDYALAYA,1,0,1
JSS COLLEGE FOR WOMEN CHAMARAJANAGAR,1,0,1
"NARAYANA ENGINEERING COLLEGE, NELLORE",2,0,2
FLORIDA INTERNATIONAL UNIVERSITY,1,0,1
NRIIT,1,1,0
SRI SAIRAM COLLEGE OF ENGINEERING,1,0,1
SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING,1,0,1
"INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR",1,1,0
IITH,2,1,1
RAJARAJESWARI COLLEGE OF ENGINEERING,1,0,1
"KSSEM,VTU",1,0,1
ST MARY'S GROUP OF INSTITUTIONS HYDERABAD,1,0,1
"NATIONAL INSTITUTE OF TECHNOLOGY WARANGAL, NITW",1,0,1
INDIANA UNIVERSITY BLOOMINGTON,1,0,1
JCT COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
NIT ANDHRA,1,0,1
GGC,1,0,1
IIT KHARAGPUR,4,3,1
INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR,2,1,1
"NATIONAL INSTITUTE OF TECHNOLOGY, ANDHRA PRADESH",1,0,1
NATIONAL INSTITUTE OF TECHNOLOGY ANDHRAPRADESH,1,1,0
SWAMINARAYAN GURUKUL INTERNATIONAL SCHOOL,1,0,1
BAPATLA ENGINEERING COLLEGE,4,2,2
SNS COLLEGE OF ENGINEERING,1,0,1
LAKIREDDY BALIREDDY COLLEGE OF OF ENGINEERING,1,1,0
VEL TECH TECHNICAL UNIVERSITY,1,0,1
CHALAWADA RAMANAMMA ENGINEERING COLLEGE,1,0,1
NSRIT,3,0,3
JNTS - J N T U COLLEGE OF ENGINEERING SULTANPUR,10,3,7
BIZGAZE LIMITED,1,0,1
GOWRA AEROSPACE TECHNOLOGIES PRIVATE LIMITED,1,0,1
MJCT - M J COLLEGE OF ENGINEERING AND TECHNOLOGY,9,5,4
"VELLORE INSTITUTE OF TECHNOLOGY, AMARAVATI",1,1,0
NARAYANA ENGINEERING COLLEGE NELLORE,1,0,1
SOLERA INC,1,0,1
BYTE QODE DIGITALS PVT LTD,1,0,1
TECH OPTIMA PRIVATE LIMITED,1,1,0
MVGR COLLEGE OF ENGINEERING -VZM,1,0,1
ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,1,0,1
DIVINCI INNOVATIVE SOLLUTIONS,1,0,1
QUIXY,1,1,0
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES -NUZVID,1,1,0
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, NUZVID",4,3,1
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,1,0,1
"VELLORE INSTITUTE OF TECHNOLOGY,CHENNAI",2,2,0
SAI RAJESWARI INSTITUTE OF TECHNOLOGY,2,0,2
AMITY UNIVERSITY MUMBAI,1,0,1
DIRECTV,1,0,1
UCLA,1,0,1
BUCHAPALLI VENKAYAMMA SUBBAREDDY ENGINEERING COLLEGE,1,0,1
9553277602,1,0,1
STUDENT AT RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES,1,0,1
SR.ENGINEERING COLLEGE,1,1,0
RAGHU ENGINEERING COLLEGE AFFILIATED BY JNTV,1,1,0
NIT JALANDHAR,1,0,1
MOODLAKATTE INSTITUTE OF TECHNOLOGY KUNDAPURA,1,0,1
BHARATIYA ENGINEERING SCIENCE AND TECHNOLOGY INNOVATION UNIVERSITY,1,1,0
BEST INNOVATION UNIVERSITY,1,0,1
A M REDDY MEMORIAL COLLEGE OF ENGINEERING &TECHNOLOGY,1,0,1
ANDHRA LOYOLA INSTITUTE OF ENGINEERING AND TECHNOLOGY,6,3,3
"VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING COLLEGE (VRSEC), VIJAYAWADA",1,0,1
NIT AP,1,1,0
ASCENDION ENGINEERING VT LTD,1,0,1
UNIVERSAL COLLEGE OF ENGINEERING AND TECHNOLOGY,2,0,2
PRIST UNIVERSITY,1,0,1
SASTRA DEEMED UNIVERSITY,4,3,1
VEL TECH RANGARAJAN DR.SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY,3,0,3
"FLORIDA ATLANTIC UNIVERSITY, GURU NANAK INSTITUTIONS TECHNICAL CAMPUS",1,0,1
RGUKT RK VALLEY,3,1,2
DR PAULRAJ ENGINEERING COLLEGE,1,0,1
NORTH CAROLINA STATE UNIVERSITY,1,0,1
SRM,3,2,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES(BASAR),1,0,1
CHADALAWADA RAMANAMMA ENGINEERING COLLEGE,3,1,2
UNIVERSITY OF LEICESTER,1,0,1
AURP - AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,22,12,10
SRINIVAS UNIVERSITY COLLEGE OF ENGINEERING,1,1,0
SRM EASWARI ENGINEERING COLLEGE,1,1,0
A.S.N DEGREE COLLEGE,1,1,0
DRKI - D R K INSTITUTE OF SCI AND TECHNOLOGY,19,8,11
VIVIDMINDS,1,1,0
SELECTSYS,1,0,1
REVA UNIVERSITY,4,1,3
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES NUZVID,4,1,3
DADI INSTITUTE OF ENGINEERING AND TECHNOLOGY,3,0,3
THARKA DIGITAL PVT LTD,1,0,1
"SRI VENKATESHWARA COLLEGE OF ENGINEERING, BENGALURU",1,0,1
OSMANI UNIVERSITY PG COLLEGE,1,0,1
INTERNATIONAL SCHOOL OF TECHNOLOGY AND SCIENCE FOR WOMEN,1,1,0
VIGNANA BHARATI INSTITUTE OF TECHNOLOGY,4,3,1
GO IT BUILDERS,1,0,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY,BASAR",1,1,0
PBR VITS,1,0,1
AMRITA SAI INSTITUTE OF SCIENCE AND TECHNOLOGY,4,1,3
ISTS WOMEN'S ENGINEERING COLLEGE,1,1,0
"VIGNAN'S FOUNDATION FOR SCIENCE, TECHNOLOGY & RESEARCH IS A DEEMED UNIVERSITY IN THE GUNTUR DISTRICT IN ANDHRA PRADESH, INDIA.",1,0,1
"SRI VENKATESHWARA UNIVERSITY COLLEGE OF ENGINEERING, TIRUPATI",1,0,1
SRI CHAITANYA,1,0,1
R.V.R &JC COLLEGE OF ENGINEERING,1,1,0
RGUKT,1,1,0
CAMBRIDGE INSTITUTE OF TECHNOLOGY,1,1,0
NIMMA SECURITY PRIVATE LIMITED,1,0,1
EASWARI ENGINEERING COLLEGE,1,0,1
SAVEETHA UNIVERSITY,1,0,1
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY ALLAHABAD,1,1,0
DAYANANDA SAGAR ACADEMY OF TECHNOLOGY AND MANAGEMENT,2,0,2
UNIVERSITY OF MICHIGAN-DEARBORN,1,0,1
CARGILL BUSINESS SERVICES,1,0,1
TEKEDGE SOLUTIONS,1,0,1
SRI DURGA MALLESWARA SIDDHARTHA MAHILA KALASALA,1,0,1
P.E.S COLLEGE OF ENGINEERING,1,0,1
GVR & S COLLEGE OF ENGINEERING AND TECHNOLOGY (AFF. JNTUK),1,0,1
VIRGINIA COMMONWEALTH UNIVERSITY,1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES RK VALLEY IIIT IDUPULAPAYA KADAPA,1,0,1
SATYA DEGREE & PG COLLEGE,1,1,0
"KL UNIVERSITY,VIJAYAWADA",1,1,0
"NATIONAL INSTITUTE OF TECHNOLOGY, SILCHAR",1,1,0
BVCITS,1,0,1
NXT WAVE,1,0,1
SANDIP UNIVERSITY NASHIK,1,0,1
POTTI SRI RAMULU CHALAVADI MALLIKARJUNA RAO COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
INTELLIOZ,1,0,1
WICHITA STATE UNIVERSITY,1,0,1
NEW JERSEY INSTITUTE OF TECHNOLOGY,1,0,1
WIPRO PRIVATE LIMITED,1,0,1
"GOVERNMENT POLYTECHNIC COLLEGE,PILLARIPATTU",1,0,1
AKASH TECH,1,0,1
NBKR INSTITUTE OF SCIENCE AND TECHNOLOGY,3,0,3
IIT TIRUPATI,1,0,1
UNIVERSITY OF GENEVA,1,0,1
MVRS ENGINEERING COLLEGE OF SCIENCE AND TECHNOLOGY,1,0,1
UNC CHARLOTTE,1,0,1
VIT AP UNIVERSITY,2,0,2
POWERTEL SOLUTIONS,1,0,1
"SVU, TIRUPATI",1,1,0
SAIS - SAI SPURTI INSTITUTE OF TECHNOLOGY,12,2,10
RGUKT NUZVID,3,2,1
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,SRIKAKULAM",1,0,1
AITH - ANNAMACHARYA INST OF TECHNOLOGY AND SCI,4,3,1
VIGNESH INSTITUTE OF INFORMATION TECHNOLOGY,1,1,0
VELAGAPUDI RAMAKRISHNA SIDDARTHA ENGINEERING COLLEGE,2,1,1
VAGDEVI DEGREE COLLEGE,1,0,1
KONERU LAKSHMAIAH EDUCATION FOUNDATION,3,2,1
JAIN (DEEMED-TO-BE UNIVERSITY),1,1,0
RAMAIAH INSTITUTE OF TECHNOLOGY,1,0,1
SCALER,1,0,1
VELAGAPUDI RAMAKRISHNA SIDDHARTH ENGINEERING COLLEGE,1,0,1
DHANEKULA INSTITUTE OF ENGINEERING AND TECHNOLOGY,6,0,6
RGUKT ONGOLE,3,3,0
RAGHAVENDRA INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH,1,0,1
CJIT - CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI,4,2,2
STUDY WORLD COLLEGE OF ENGINEERING,1,1,0
GOVERNMENT DEGREE COLLEGE KHAIRATABAD,3,0,3
R.M.D. ENGINEERING COLLEGE,1,0,1
COGNIZANT,3,0,3
SIR MVIT INSTITUTE OF TECHNOLOGY,1,0,1
VIT BHOPAL UNIVERSITY,3,1,2
MVJ COLLEGE OF ENGINEERING,1,1,0
NIMS UNIVERSITY,2,0,2
FREELANCE CONTENT WRITER,1,0,1
OSOS PVT LTD,1,0,1
ADHI COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
MMR INSTITUTE OF TECHNOLOGY,1,0,1
"INDIAN INSTITUTE OF TECHNOLOGY (BHU), VARANASI",1,0,1
SHIV NADAR INSTITUTE OF EMINENCE,1,0,1
CHADALAWADA RAMANAMMA ENGINEERING COLLEGE TIRUPATI,1,0,1
R. V. R & J. C COLLEGE OF ENGINEERING,2,2,0
ANANTHA LAKSHMI INSTITUTE OF TECHNOLOGY AND SCIENCES,1,0,1
IGNOU,1,0,1
UNIVERSITY OF FLORIDA,1,0,1
RAVI KISHORE VUJJENI,1,1,0
BIRLASOFT,1,0,1
TECH MAHINDRA,2,0,2
VISVODAYA ENGINEERING COLLEGE,1,0,1
KONERU LAKSHMAIAH UNIVERSITY HYDERABAD,1,0,1
IIIT RGUKT RKV,1,0,1
SVR COLLEGE OF MANAGEMENT STUDIES,1,0,1
IIITDM KURNOOL,1,0,1
TECHNO MAIN SALTLAKE,1,1,0
T-MOBILE,1,0,1
COMPANY,3,2,1
ASSAM KAZIRANGA UNIVERSITY,1,0,1
BML MUNJAL UNIVERSITY,1,0,1
EFICENS SYSTEMS,1,0,1
"VEL TECH UNIVERSITY, CHENNAI",1,0,1
VITAP,1,1,0
AMITY UNIVERSITY KOLKATA,1,0,1
SIMPLIFORGE CREATIONS,1,0,1
VMTW - VIGNANS INST OF MANAGEMENT AND TECH FOR WOMEN,13,4,9
"SRI VENKATESHWARA COLLEGE,BENGALORE",1,1,0
SAVEETHA ENGINEERING COLLEGE,1,0,1
SRMIST RMP,1,0,1
ST.JOHNS COLLEGE OF ENGINEERING AND TECHNOLOGY,3,0,3
ST. JOHNS COLLEGE OF ENGINEERING AND TECHNOLOGY,2,0,2
UNIVERSITY OF HOUSTON,1,0,1
SWECHA,2,1,1
SSR DEGREE COLLEGE,1,0,1
KRISTU JAYANTI COLLEGE,1,0,1
COMPUTER SCIENCE & ENGINEERING,1,0,1
SR COLLAGE,1,0,1
CHENNAI INSTITUTE OF TECHNOLOGY,2,2,0
VITS KARIMNAGAR,1,1,0
KONERU LAKSHMAIAH DEEMED TO BE UNIVERSITY,1,0,1
SREE VENKATESHWARA ENGINEERING COLLEGE,1,1,0
SRI SAIRAM INSTITUTE OF TECHNOLOGY,1,0,1
SIR.C.R.REDDY COLLEGE OF ENGINEERING,1,0,1
ST.ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,6,3,3
JOHANNES KEPLER UNIVERSITY,1,0,1
FISERV,1,1,0
KRUSHNA UNIVERSITY,1,0,1
OZONETEL COMMUNICATION PVT. LTD.,1,0,1
"PRASAD V.POTLURI SIDDHARTHA INSTITUTE OF TECHNOLOGY, VIJAYAWADA",1,0,1
DB4CLOUD TECHNOLOGY PVT LTD,1,0,1
SATHYABAMA UNIVERSITY OF SCIENCE AND TECHNOLOGY,1,0,1
GRAPHIC ERA HILL UNIVERSITY,1,1,0
KKR & KSR INSTITUTE OF TECHNOLOGY & SCIENCES,1,1,0
TERI SCHOOL OF ADVANCED STUDIES,1,0,1
SIR CR REDDY COLLEGE OF ENGINNERING,1,0,1
